id,Tweet,Created_at
20548681,"I don't know what episode 3 of #TheLastOfUs did to anyone else, but it just fuckin blew my mind 🤯
Lots of tears involved. In a good way!",2023-02-04 19:03:13+00:00
1928986668,Our dynamic duo #TheLastOfUs https://t.co/iArK9CglQr https://t.co/CceLJNVnz9,2023-02-04 19:02:37+00:00
214964526,🤢.. straight up #TheLastOfUs https://t.co/5Isx36QPKs,2023-02-04 19:01:58+00:00
1115840968337567744,"#TheLastofUs Episode 4 Cast #PedroPascal
#BellaRamsey #MelanieLynskey #TLOU #JeffreyPierce #JeffreyPierceasPerry https://t.co/4vllNDrxUK",2023-02-04 19:01:49+00:00
1928986668,@TheLastofUsHBO Can’t wait for what they’ll bring tomorrow night! #TheLastOfUs,2023-02-04 19:01:36+00:00
1928986668,@HBO What you say goes #TheLastOfUs,2023-02-04 19:00:23+00:00
1572526349503299585,"With #TheLastOfUS taking the world by storm recently, #TheDayBefore looks like they want to be a big player in the 'zombie' genre🤯 What do you think?

WATCH GAMEPLAY HERE: https://t.co/Z9g5Ux0MIm",2023-02-04 19:00:17+00:00
1624759417,"the moment you realize you’ve been watching pointless G_a_y shit for an hour because HBO wants so…
#TheLastOfUs https://t.co/MC7dI3wlJ4",2023-02-04 19:00:03+00:00
3873362656,"This turned out a lot better than we thought 😅

#TheLastOfUs

https://t.co/r8o91x5Kiy",2023-02-04 19:00:01+00:00
2849182664,"-Seeing two people serve one another and love one another even though they may not be the perfect match for each other was really special. Two people can make a relationship work when you forget about yourself and choose to put your partner first.

#TheLastOfUs",2023-02-04 18:59:21+00:00
1370910923335032835,Pedro Pascal and Bella Ramsey were the PERFECT choice for Joel and Ellie respectively. #TheLastOfUs,2023-02-04 18:56:26+00:00
1135018956119560192,"#TheLastOfUs He was already gay in the game. I remember the second I heard the name. It's not woke, it's just fleshing out the character like everything else in the series and yet it holds powerful symbolic positioning. 1/2",2023-02-04 18:55:16+00:00
1617929626826719232,"Just watched 3 episode of the last of us... It is simply stunning, as always, of course I would like to see more progression of the plot, but we have what we have
#TheLastOfUs #TheLastOfUsEp3",2023-02-04 18:53:21+00:00
1235288415572316160,"finally starting TLOU 🤩
#TheLastOfUs #tlou",2023-02-04 18:53:01+00:00
2849182664,"Here were my hightlights from season 1, episode 3 of #TheLastOfUs
🧵
- Having not played the game, I didn't know Frank and Bill's relationship and so there was a lot of suspense when they first met each other. I wasn't sure if Bill would eventually kill Frank, or whatever.",2023-02-04 18:51:53+00:00
7131002,"🍄🍄🍄 https://t.co/6mLtfIAMMJ

Literally the stuff of nightmares.
#TheLastOfUs",2023-02-04 18:51:33+00:00
1369011347657138176,They should make #thelastofus  a video game fr,2023-02-04 18:51:18+00:00
1560366917919064072,"I can’t stop watching the third episode of @TheLastofUsHBO! Two things on my wish list after watching this episode
(1) The extended version with the scenes that were cut.
(2) Nick Offerman’s cover of Linda Ronstandt’s ‘Long Long Time’
#TheLastOfUs",2023-02-04 18:51:16+00:00
26958212,"When watching that gorgeous #TheLastOfUs episode 3, I turned to Kai and said, “Gay men finally have their ‘Carol’” and I stand behind it.",2023-02-04 18:51:03+00:00
21398747,The latest South Shore Online! https://t.co/iQMCa1n4jP #blackfriday #thelastofus,2023-02-04 18:50:28+00:00
104350423,Finally got to watch episode 3 of #TheLastOfUs  … Bill and Frank are my favorite. 🥰,2023-02-04 18:50:12+00:00
1029330988986454017,"It’s not okay to do bill and frank gay
But is totally fine do sam def?
Let’s see if the rating of this ep 4 goes as low as 3
#TheLastOfUs",2023-02-04 18:48:52+00:00
86699905,The way I was gonna come here and say how come they just let this lil white kid run up on them like that and they let their guard down…only to see the outcome from that seconds later. Oh this show is one of those huh?! #TheLastOfUs https://t.co/9kZJF6pTb2,2023-02-04 18:48:34+00:00
2492005388,Not  #TheLastOfUs making me cry at the end of episode 3. 🥹😭🖤,2023-02-04 18:47:54+00:00
46763236,"@ryan_reflects Listen, I’ve been tweeting about this since learning #Pedropascal was cast as #JOELMILLER &amp; rewatching #TheLastOfUs pt2 I’m still angry w/Neil for doing Joel so dirty &amp; then to have Ellie just let Abby (Joel’s murderer) walk or ride off in a boat was a slap in the face.",2023-02-04 18:47:29+00:00
334930245,"“No, watch, every bad guy will be some white guy in the show”
4 episodes in and I haven’t been wrong yet for #TheLastOfUs — why is this @Neil_Druckmann",2023-02-04 18:47:12+00:00
1433789706211315712,There’s some rules you gotta follow. A new episode of #TheLastOfUs premieres tomorrow at 9PM on HBO Max. https://t.co/pqG8f267rM,2023-02-04 18:46:33+00:00
135175718,Finally saw ep 3 of #LastOfUsHBO and oh god…. It DESTROYED me. I was not prepared for that. I totally surrendered to it. #MurrayBartlett is incredible #TheLastOfUs #tv #streaming https://t.co/WWCtH4EKiT,2023-02-04 18:45:43+00:00
1576296700699869184,"Fine! Ugh, I'll watch #TheLastOfUs !  Y'all have convinced me to jump on the bandwagon with you.  
https://t.co/zqCobMegB7",2023-02-04 18:42:36+00:00
1348601502269464576,"Did anyone freak out this much over Ellie being a lesbian in The Last of Us games? Cause the homophobia over Episode 3 of the Tv show seems kinda selective....
I guess wait and see until Ellie kisses Riley in the show. 🤷‍♀️
#TheLastOfUs 
#HomophobicIdiots
#SelectiveHomophobia",2023-02-04 18:42:04+00:00
568949287,Today just doing video editing and photo editing to get ready for some youtube video releasing. Tomorrow The last of us part 1 stream Then The last of us the HBO series #YouTuber #twitch #TheLastOfUs,2023-02-04 18:41:58+00:00
1197352072984846337,#TheLastOfUs is a 10/10 for now.,2023-02-04 18:41:09+00:00
101362253,Give Nick Offerman all the awards. #TheLastOfUs,2023-02-04 18:41:04+00:00
238437242,finally starting #TheLastOfUs!!! 🤓,2023-02-04 18:40:59+00:00
922017799,"In The Last of Us’s zombie hellscape, same-sex love is no big deal – now for the real world | The Guardian | #TheLastOfUs #LoveIsLove  https://t.co/rk96CHe8Av",2023-02-04 18:39:24+00:00
924866840467095553,Damn I know I’m late but the last episode of #TheLastOfUs really got me sobbing and crying out loud why did this hit me so hard 😩,2023-02-04 18:38:38+00:00
33246748,"Big shoutout to @billykeable not only does he co-host one of the best podcasts in the game @AEPodcast his recommendation to give #TheLastOfUs TV show a shot paid off. I'm loving it. Ep 1/2/3 were splendidly done too! 

Highly recommended if you've played the game or not.",2023-02-04 18:38:25+00:00
280219418,I demand Bill &amp; Frank funkos @OriginalFunko #TheLastOfUs,2023-02-04 18:37:19+00:00
24216951,Call it zombified TV. @McHenryJD writes #TheLastOfUs https://t.co/0vWgo3rbeN,2023-02-04 18:36:56+00:00
760277690809212928,"#TheLastOfUs Remake Gameplay Walkthrough Full Game (#PS5) 4K 60FPS HDR ... 
https://t.co/1ulruZ9L8I",2023-02-04 18:35:46+00:00
148894160,"TLOU viewers doubting the 2003 US govt would be efficient &amp; brutal enough under GWB to eliminate citizens they don’t have room for in the QZ is forgetting about D!ck Cheney 

#TheLastOfUs #tlou",2023-02-04 18:35:24+00:00
321879517,Finally watching episode 3 of #TheLastOfUs,2023-02-04 18:35:21+00:00
86699905,Just started #TheLastOfUs …NIGGA! A plane crash??!?!,2023-02-04 18:30:56+00:00
149198914,"Three rules 
#TheLastOfUs https://t.co/bp7TPw0oxy",2023-02-04 18:30:47+00:00
726470174056927232,Playing #TheLastOfUs along with the show continues to be a treat.,2023-02-04 18:28:03+00:00
1050503778,Episode 3 was really weird 🙄 #TheLastOfUs,2023-02-04 18:27:46+00:00
15249886,"Murray Bartlett with complete Peter Allen/Boy from Oz energy in his “Long Long Time” rendition in #TheLastOfUs 

In a little different version, they could have gone with “I Honestly Love You” as the theme song for the episode",2023-02-04 18:27:37+00:00
3148787797,If you are a straight person and you occupy a queer space it doesn't matter whether or not you do it well you are still not entitled to it ok bye #thelastofus,2023-02-04 18:26:30+00:00
462467664,"@ShaunaEMurphy1 You might enjoy this:

“Dr. Patty Kaishian, #mycologist and visiting professor of #biology at Bard College, joins Ira Flatow to talk about the science behind ‘#TheLastofUs.’ They dig into what’s real, what’s fiction, and how #fungi shape our lives.”

https://t.co/Too9A8in71",2023-02-04 18:20:47+00:00
225096034,"This was a nice change from the game! #TheLastOfUs

https://t.co/mzg1i0Pkz1",2023-02-04 18:20:00+00:00
612377223,"Poor Tess, that scene really gave me some flashbacks to my early 20s in the McFaddens basement #thelastofus",2023-02-04 18:16:56+00:00
30461852,"Finally getting started with #TheLastOfUs . I figured I better since Pedro Pascal is hosting SNL tonight, so there will probably be a sketch... Also, I've been hearing a lot about how great Episode 3 is so my interest is beyond piqued... https://t.co/cf1EhNHnqC",2023-02-04 18:15:49+00:00
218853111,"#LGBT #Gay #Queer #LoveisLove #PERU #Pride 
#BTS #Wonho #esland2023 #TheLastOfUs 

SerGayenelPeru 

Gay Serie : THE REAL O´NEALS Temp.1...
https://t.co/voxYl2Z5UP",2023-02-04 18:15:02+00:00
600551655,An unintended consequence of watching #thelastofus is I've been craving jerky since episode 1,2023-02-04 18:13:34+00:00
37214143,“I’m old. I’m satisfied. And you were my purpose.” #TheLastOfUs https://t.co/ALrV36cbhD,2023-02-04 18:10:19+00:00
1458043795,episode 4 out now!!! https://t.co/QjhrPQuJva #TheLastOfUs #TLOU,2023-02-04 18:05:52+00:00
1023193134258421760,"Currently trending scripted:
1. #SaveWarriorNun
2. #WarriorNun
3. #TheLastOfUs
4. #Shadowhunters ➰
5. #SaveShadowhunters ➰

like, RT &amp; follow https://t.co/SpryT7qjU6",2023-02-04 18:03:19+00:00
1522862848837406726,No because what would vegetarians and vegans do in a zombie apocalypse? with limited food even for meat eaters #thelastofus #TheLastOfUsHBO,2023-02-04 18:03:05+00:00
1502152707636817925,"in honour of the tlou show making me cry, i shall play the game

#thelastofus #smallstreamer #twitch 
https://t.co/cXBPvVW8zM",2023-02-04 18:01:41+00:00
21748010,"The latest episode of #TheLastOfUs has been celebrated for its portrayal of a gay love story. Sadly, it's also had some negative responses from the homophobes. 

https://t.co/JE3XeKgkuo",2023-02-04 18:00:24+00:00
241763511,THEY PUT BILL AND FRANK ON THE PROJECTOR DURING ENCHANTED AT TAYLOR NIGHT IN NASHVILLE LAST NIGHT 😭 #thelastofus https://t.co/03AWKBQXci,2023-02-04 17:59:55+00:00
20137739,Finally starting #TheLastOfUs,2023-02-04 17:59:48+00:00
896792784,"@sodisperu #LGBT #Gay #Queer #LoveisLove #PERU #Pride 
#BTS #Wonho #esland2023 #TheLastOfUs 

SerGayenelPeru 

Gay Doc : TOM DALEY - ILLEGAL TO BE ME 2022...
https://t.co/09x3QJbDUe",2023-02-04 17:57:02+00:00
2507825230,Oh. My. Days. #TheLastOfUs #IYKYK https://t.co/bxiAcXx0Su,2023-02-04 17:54:52+00:00
887587003528773632,Con at The Last Of Us Immersive Screening!!! https://t.co/A3CP2x1asX #TheLastOfUs #TheLastOfUsHBO #SkyAtlantic #SkyTV #NowTV #HBO #Streaming #PlayStation  #PlayStation5 #games #Gaming #Horror #SaturdayVibes #SaturdayMotivation,2023-02-04 17:51:31+00:00
40123950,"Not I, sorry. I’m watching #TheLastOfUs I don’t trust the grammys I esp after last year https://t.co/z3tXAh3ySb",2023-02-04 17:51:26+00:00
887587003528773632,PlayStation 5 – The Last of Us Part 1 game review!!! https://t.co/L3jJwZ6SHL #TheLastOfUs #TheLastOfUsHBO #SkyTV #NowTV #Streaming #PlayStation  #PlayStation5 #games,2023-02-04 17:49:39+00:00
1544192437,#TheLastOfUs tomorrow,2023-02-04 17:49:24+00:00
887587003528773632,Sky Exclusive – The Last Of Us review by Con!!! https://t.co/wz244bbN1D #TheLastOfUs                 #TheLastOfUsHBO   #SkyTV #NowTV #Streaming #PlayStation  #PlayStation5 #games #Gaming #Horror #SaturdayVibes #SaturdayMotivation,2023-02-04 17:49:08+00:00
8518072,"@TheLastofUsHBO @hbomax Line for line, just like in the game for this particular scene.👌🏻 

And delivered so well by Pedro and Bella.❤️ #TheLastOfUs #TLOU #TheLastOfUsHBO",2023-02-04 17:48:38+00:00
8518072,"Line for line, just like in the game for this particular scene.👌🏻 

And delivered so well by Pedro and Bella.❤️ #TheLastOfUs #TLOU #TheLastOfUsHBO https://t.co/cXwetAmShi",2023-02-04 17:48:30+00:00
138751909,"EXCL: Spores from #TheLastOfUs video game might have been cut from the TV show, but they are still influencing the series, @ebenbolter reveals https://t.co/TkrjvEIUf2",2023-02-04 17:46:03+00:00
1433789706211315712,There’s some rules you gotta follow. A new episode of #TheLastOfUs premieres tomorrow at 9PM on HBO Max. https://t.co/af66WdGh7p,2023-02-04 17:46:03+00:00
872602119420784641,Never in history would a series make me want to crawl for Monday to come even sooner. #TheLastOfUs did. Hoorah! https://t.co/O2qBs2qgkG,2023-02-04 17:44:48+00:00
218812313,(15 years+) Con at The Last Of Us Immersive Screening!!! https://t.co/l1JQNp7rYv #TheLastOfUs       #TheLastOfUsHBO  #SkyAtlantic #SkyTV #NowTV #HBO #Streaming #PlayStation #games #Gaming #Horror #VideoGames #SaturdayVibes #SaturdayMotivation,2023-02-04 17:43:55+00:00
1391221499978260481,"to anyone who’s loves the last of us (show or game) 
we should be moots🤷‍♀️
#thelastofus",2023-02-04 17:43:42+00:00
482437574,A few days behind everyone else but just finished episode 3 of #TheLastOfUs https://t.co/0AqpSmfnxW,2023-02-04 17:43:27+00:00
896792784,"@andresitopas15 #LGBT #Gay #Queer #LoveisLove #PERU #Pride 
#BTS #Wonho #esland2023 #TheLastOfUs 

SerGayenelPeru 

Gay Movie : A WALK A MILE IN MY PRADAS 2011...
https://t.co/Oc8os4cv89",2023-02-04 17:42:02+00:00
1928986668,#TheLastOfUs Excited to see their journey truly begin tomorrow night https://t.co/lf6oIVCPhq https://t.co/UgvrYAvUQi,2023-02-04 17:31:46+00:00
23780896,"If you don't cry at the final scene of #TheLastOfUs, you don't have a soul. https://t.co/Ln4Ghxt5Uw",2023-02-04 17:21:42+00:00
2178702877,A Cumberland Farms omg #TheLastofUs,2023-02-04 17:20:17+00:00
1216328579400601607,#TheLastOfUs is an epic show finally a good zombie show is here !!,2023-02-04 17:20:09+00:00
2443682065,Come support our podcast and get new episodes days early - plus a #TheLastOfUs bonus special! https://t.co/0YOkqEYfGM,2023-02-04 17:15:42+00:00
285058706,@exitthelemming Will it make me cry? I’ve already cried several times this week after #TheLastOfUs and I can’t cry any more 😄,2023-02-04 17:15:28+00:00
1409103722727284736,"Can’t wait to sit down tomorrow and talk #thelastofus and #DCU slate 1 ! We live at 5pm EST #podcast #youtube #rt 

https://t.co/WbE48gm6Vw",2023-02-04 17:10:32+00:00
94423464,"Any TV program/film using @maxrichtermusic's On the Nature of Daylight needs to come with severe weeping warning on it... I'm broken, I'll be blubbering for the next week #TheLastOfUs #BillandFrank",2023-02-04 17:09:57+00:00
486236195,"Switching over to The last of Us Part II | The Day After | First Playthrough | Game Vote [ENG/OCE] at https://t.co/PfcutiD5WM

 #TheLastOfUs #TheLastOfUs2 #Twitch #Twitchstreamer",2023-02-04 17:06:14+00:00
1148805495144243201,32 hours 54 minutes 🙂 #TheLastOfUs,2023-02-04 17:06:08+00:00
935259643768725505,"New! Ep 165! We’re breaking down #JamesGunn reveal of the new #DC TV &amp; Film slate! We review the latest EP of #TheLastOfUs ! We talk #MCU, #StarWars &amp; #Horror news &amp; #RoyalRumble fallout! #PodernFamily #podcast #marvel #podbean 
https://t.co/ZQ5bPhHB93",2023-02-04 17:06:05+00:00
19084114,It’s not lost on me that the man behind the music for #TheLastOfUs and THAT amazing episode w/ @Nick_Offerman &amp; #MurrayBartlett also did the music for BROKEBACK MOUNTAIN. The incredible @santaolallaok Gustavo Santaolalla - Wins Original Score: 2006 Oscars https://t.co/rTPGUwYLTD,2023-02-04 17:02:27+00:00
58420528,You mean performer of the century ❤️ #TheLastOfUs https://t.co/qw1yQUSpPX,2023-02-04 17:02:05+00:00
2695009326,"Wondering where you’ve heard the music featured in #TheLastOfUs’s latest heartbreaking episode? @ayaan_paul takes a brief look:

SPOILER ALERT🔺

https://t.co/Z9ij6b1eQO",2023-02-04 17:00:02+00:00
1220686393,"#TheLastofUs recap: Joel and Ellie continue traveling outside Boston and we meet Bill and Frank and the journey they take to survive the apocalypse together...
@TheLastofUsHBO 

https://t.co/lvkni7ORVH",2023-02-04 17:00:01+00:00
2777139026,"🤔 What Time Does The Last Of Us Episode 4 Air?
👉 Let's take a look!
https://t.co/DpCiCBaYBL
#HBO #TheLastOfUs #Cordyceps",2023-02-04 16:59:35+00:00
2734762370,The latest IDP Daily - Patents &amp; Technology! https://t.co/gosnYRfO2X Thanks to @ipwatchdog #ces2023 #thelastofus,2023-02-04 16:59:19+00:00
1001030161519824896,Oh Frank. Oh Bill 😭😭😭😭❤️‍🩹❤️‍🩹 #TheLastOfUs episode 3,2023-02-04 16:56:21+00:00
1711633207,@lastofcam It's almost hard to tell but once I saw the Ellie collectible statue from #TheLastOfUs- it made sense!,2023-02-04 16:54:44+00:00
1148718370537254913,"Live Now! Playing some more #TheLastOfUs. Come and check out the stream!

https://t.co/sdY8Uw302r

@rtsmallstreams @tvsupporterz #twitch #twitchtv #smallstreamer #stream #streamer #streaming #gaming #supportsmallstreamers #TwitchAffiliate https://t.co/hcrX9upWr7",2023-02-04 16:54:33+00:00
1305741397039804416,"Yall Loved Wakanda Forever, but HATED #TheLastOfUs 2? Its the same plot, just fyi",2023-02-04 16:53:41+00:00
290573920,"Get ready for tomorrow's The Last of Us with our latest video! New #TheLastofUs videos every Sunday, SUBSCRIBE to our YouTube for more! #TheLastOfUsHBO  https://t.co/VCpeW0Kyqd",2023-02-04 16:52:55+00:00
1621811268771348480,"hi! Im Yubaba. 
Im new in this fandom and I'm a fan of TLOU.

So, I'll be uploading photos and commenting on it. I hope you include me as one more. &lt;3 
#tlou #TheLastOfUs #TLOU2 #Ellie #JOELMILLER",2023-02-04 16:50:10+00:00
57407319,Lets Watch: #TheLastofUs 1x3 [REACTION] https://t.co/foMQSk3jiH via @YouTube Episode 1 got a tear from me...this one got snot! Such an amazing episode!,2023-02-04 16:47:25+00:00
1284870037795491840,"imagine being obsessed with Ellie Williams. yes, I’m obsessed with her #thelastofus #elliewilliams",2023-02-04 16:44:48+00:00
192283723,@Kwite looks like episode 3 of #TheLastOfUs,2023-02-04 16:44:29+00:00
17781928,Just watched episode 3 of #TheLastOfUs - what a heartbreaker. 😢,2023-02-04 16:43:18+00:00
251674133,"You can watch my full #TheLastofUs interview with Bell, Pedro, Nico Parker and Craig Mazin here https://t.co/bfNTTqBFOn",2023-02-04 16:41:53+00:00
3191587158,@GermHunterMD @kasson_wvu @DrValleyFever @DrRabern the most unbelievable ID-related concept from #TheLastOfUs (from the game) is how a single dose of intra-wound penicillin can fully and quickly cure a pretty bad case of septic shock in a large adult male. #shorterisbetter,2023-02-04 16:41:47+00:00
225096034,"Anyone else still crying? #TheLastOfUs  

https://t.co/vE4vs7LJBU",2023-02-04 16:40:00+00:00
874766734007422976,Episode 4 of #TheLastOfUs is pretty good,2023-02-04 16:39:17+00:00
255237391,"“Countless queer people from older generations were robbed of their chance to find this kind of happiness, to love each other for a long, long time. They deserve to see a story like this too, their story out in the world at last”

My latest on #TheLastOfUs
https://t.co/6IaOGrJgkA",2023-02-04 16:38:02+00:00
1051305906737012736,"#TheLastOfUs //
.
.
.

why do the gays always have to suffer omg stop ??! 😭",2023-02-04 16:35:15+00:00
147707505,#TheLastOfUs #HBOMax ….picking up,2023-02-04 16:34:21+00:00
58256324,"In The Last of Us’s zombie hellscape, same-sex love is no big deal – now for the real world #TheLastofUs  https://t.co/KdroVM7uld",2023-02-04 16:31:54+00:00
935259643768725505,"New! Ep 165! We’re breaking down #JamesGunn reveal of the new #DC TV &amp; Film slate! We review the latest EP of #TheLastOfUs! We talk #MCU, #StarWars &amp; #Horror news &amp; #RoyalRumble fallout! #PodernFamily #podcast #marvel
https://t.co/0GYVItBWKl",2023-02-04 16:31:32+00:00
2202685003,I just entered @RokkShow's BIG Giveaway to win a copy of The Last Of US Part 1: Deluxe Edition on PC! #rokkshow #giveaway #win #TheLastOfUs. Enter now! https://t.co/GpLjSfoYRa,2023-02-04 16:29:04+00:00
466145402,"Haven't stopped thinking about it, so I wrote about one of my favorite episodes of television I've seen in a long time. Please subscribe and if you like the piece a share would be much appreciated! #TheLastOfUs #LongLongTime https://t.co/8SgJWgchvM",2023-02-04 16:25:05+00:00
218853111,"#LGBT #Gay #Queer #LoveisLove #PERU #Pride 
#BTS #Wonho #esland2023 #TheLastOfUs 

SerGayenelPeru 

Gay movie : BUTTERFLY HOUSE 2019...
https://t.co/PJUTWI04fw",2023-02-04 16:25:02+00:00
36408944,Oh episode 3 🥲 #TheLastOfUs,2023-02-04 16:21:47+00:00
225096034,"Oh the Linda Rondstadt song in #TheLastOfUs hurts

https://t.co/CWszyvJBBs",2023-02-04 16:20:00+00:00
791765988,I just started #TheLastofUs and Boston has never looked better!,2023-02-04 16:16:14+00:00
1059461152034508800,"I gotta say, when he was first announced as Joel I had my doubts. But Pedro Pascal has made Joel his own and is CRUSHING IT. Bravo!
Troy is the very best and will never be surpassed, but Pedro Pascal is not far behind! Amazing performance.
#TheLastofUs #TheLastOfUsHBO https://t.co/Dls871WmHW",2023-02-04 16:14:38+00:00
5510992,"All of us watching that #TheLastOfUs episode 

https://t.co/oNwrHuiX2i",2023-02-04 16:10:26+00:00
414523544,"Even in the the darkest pits of despair, there is still hope.

https://t.co/pNkLHDpoQ7

#Redbubble #inspirational #zombies #TLOU #TheLastofUs",2023-02-04 16:10:13+00:00
1083413938614779905,UTR Presents Dead Men Talking (#TheLastOfUs) Episode 3: Bill and Frank's Romantic Adventure https://t.co/8eykD69qCz,2023-02-04 16:10:06+00:00
871012873375318017,"Ah fuck I started playing #TheLastOfUs to play up the show weekly. The game is so much better.
Not even gameplay just characters feel so much more real. The show tries to exaggerate their main quirks but it takes away from their humanity and makes them cliche vs game. :(",2023-02-04 16:09:30+00:00
1612578954069659649,"With the new series out, I figured I'd take a look back at #TheLastofUs and see why I became such a fan in the first place! 

https://t.co/RgQfT5Xx4X",2023-02-04 16:09:21+00:00
152355524,"My TikTok feed has been showing me a lot of moments from #TheLastOfUs Part II and I’m surprised how much I don’t remember. Played it at launch, replayed it for the Platinum, haven’t returned since. Really hope we get a PS5 port.",2023-02-04 16:06:00+00:00
4597563568,@thegameawards Obviously.. #theLastOfUs #SaveWarriorNun https://t.co/STeEmENPBL,2023-02-04 16:00:47+00:00
893469417819955200,The latest The #actorslife ! https://t.co/6NvwjvRsKQ Thanks to @q_and_s_net #avatarthewayofwater #thelastofus,2023-02-04 15:59:55+00:00
896792784,"@cojicabutoMH #LGBT #Gay #Queer #LoveisLove #PERU #Pride 
#BTS #Wonho #esland2023 #TheLastOfUs 

SerGayenelPeru 

Gay Doc : BALLERINA BOYS - AMERICAN MASTERS 2021...
https://t.co/hXcOCunCBT",2023-02-04 15:57:02+00:00
1202891902405791745,"The amount of people that I’ve seen being homophobic assholes towards the third episode of #TheLastofUs is sickening. 

This is why a lot of gay men are still afraid to come out and feel like they need to keep it to themselves because of the stigma towards them. 

Be better, ffs.",2023-02-04 15:51:06+00:00
1570510819829350402,"HBO &amp; Neil Druckman knew exactly what they were doing by using Max Richter's ""On The Nature of Daylight"" for #TheLastofUs ep 3.",2023-02-04 15:50:14+00:00
40123950,Absolutely. ❤️ #TheLastOfUs https://t.co/x7Z5QxTDtt,2023-02-04 15:48:53+00:00
53416752,Okay serious question should I watch #TheLastOfUs 🧐,2023-02-04 15:46:41+00:00
99743484,The latest The Dr Hyacinth Dickinson Daily! https://t.co/93pXDMCU2V Thanks to @TheAdvocateMag @BorneoOSUK @DIVAmagazine #orangutan #thelastofus,2023-02-04 15:46:23+00:00
1616118587818745856,Whoever drew Joel’s booty in #THeLastofUs most definitely knew what they were doing. #TheLastOfUsHBO #TheLastOfUsPart2 #PlayStation #PlayStation5 #daddy #gaydaddy,2023-02-04 15:45:44+00:00
